Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Dec,Jan,Feb,Mar,Apr,May
1,Utah Jazz,45-17,26-4,19-13,23-6,22-11,6-3,10-0,7-3,5-4,7-5,10-2,27-9,18-8,3-1,35-6,2-2,13-3,12-2,9-4,9-6,0-0
2,Phoenix Suns,44-18,24-9,20-9,19-8,25-10,6-3,7-2,6-3,8-4,7-3,10-3,24-11,20-7,6-3,19-6,4-1,6-7,12-3,11-3,11-4,0-0
3,Brooklyn Nets,43-20,25-7,18-13,23-14,20-6,8-4,6-4,9-6,6-2,9-1,5-3,24-13,19-7,3-4,21-10,3-2,10-7,9-4,11-2,10-5,0-0
4,Los Angeles Clippers,43-21,24-8,19-13,17-9,26-12,2-5,9-1,6-3,10-3,8-3,8-6,24-14,19-7,3-4,28-7,4-1,12-4,8-7,8-5,11-4,0-0
5,Denver Nuggets,42-21,24-10,18-11,18-8,24-13,4-4,8-1,6-3,8-1,5-8,11-4,21-15,21-6,6-4,26-10,1-3,11-5,6-7,11-3,13-3,0-0
6,Philadelphia 76ers,41-21,24-7,17-14,26-9,15-12,10-2,6-6,10-1,5-5,6-4,4-3,24-12,17-9,5-3,21-11,4-1,11-5,7-6,10-3,9-6,0-0
7,Milwaukee Bucks,38-24,20-10,18-14,23-11,15-13,6-7,9-0,8-4,6-4,5-5,4-4,22-14,16-10,4-5,26-11,2-3,9-5,10-5,9-4,8-7,0-0
8,Los Angeles Lakers,36-26,17-13,19-13,15-12,21-14,3-5,7-2,5-5,9-4,3-6,9-4,24-13,12-13,5-5,20-12,3-2,12-4,9-5,6-7,6-8,0-0
9,Dallas Mavericks,35-27,16-14,19-13,15-9,20-18,4-4,4-4,7-1,8-6,6-8,6-4,18-16,17-11,4-4,22-14,1-3,7-9,8-4,9-5,10-6,0-0
10,New York Knicks,35-28,22-11,13-17,23-17,12-11,3-8,11-4,9-5,4-5,3-4,5-2,19-18,16-10,2-8,22-13,2-3,7-9,9-5,6-7,11-4,0-0
11,Atlanta Hawks,34-29,18-11,16-18,20-16,14-13,7-7,7-6,6-3,4-5,5-4,5-4,16-20,18-9,2-3,21-14,3-1,7-8,4-11,9-4,11-5,0-0
12,Portland Trail Blazers,34-28,16-16,18-12,16-10,18-18,5-3,5-4,6-3,4-6,6-7,8-5,21-14,13-14,10-8,13-12,2-2,8-6,8-6,11-4,5-10,0-0
13,Boston Celtics,33-30,20-12,13-18,19-17,14-13,4-7,7-6,8-4,5-3,6-4,3-6,19-17,14-13,6-5,15-10,3-2,7-6,7-9,6-8,10-5,0-0
14,Miami Heat,33-30,19-14,14-16,18-17,15-13,6-6,7-5,5-6,4-5,5-5,6-3,18-18,15-12,4-5,13-15,2-2,5-10,10-5,7-7,9-6,0-0
15,Golden State Warriors,31-32,19-11,12-21,14-16,17-16,3-7,8-2,3-7,7-5,4-7,6-4,19-18,12-14,4-4,20-18,2-2,9-7,8-7,4-8,8-8,0-0
16,Memphis Grizzlies,31-30,13-17,18-13,17-8,14-22,5-3,5-4,7-1,6-8,4-8,4-6,16-16,15-14,2-6,20-18,1-3,7-3,7-9,7-8,9-7,0-0
17,San Antonio Spurs,31-30,13-19,18-11,15-10,16-20,3-3,6-3,6-4,5-7,5-7,6-6,18-14,13-16,7-5,17-15,2-2,9-7,6-3,7-9,7-9,0-0
18,Charlotte Hornets,30-32,16-13,14-19,17-18,13-14,4-10,6-6,7-2,4-5,4-5,5-4,17-18,13-14,8-3,12-21,2-2,7-9,7-6,8-5,6-10,0-0
19,Indiana Pacers,29-33,11-19,18-14,16-19,13-14,3-10,6-4,7-5,4-5,2-6,7-3,16-19,13-14,5-3,13-15,4-1,7-8,4-8,6-8,8-8,0-0
